State,"Driver BAC = 0.00, Number","Driver BAC = 0.00, Percent","Driver BAC = .01--.07, Number","Driver BAC = .01--.07, Percent","Driver BAC = .08+, Number","Driver BAC = .08+, Percent","Driver BAC=0.01+, Number","Driver BAC=0.01+, Percent","Total Drivers Involved in Fatal Crashes, Number","Total Drivers Involved in Fatal Crashes, Percent"
Alabama,957,77,45,4,248,20,292,23,1249,100
Alaska,79,77,2,2,22,22,24,23,103,100
Arizona,1058,77,58,4,259,19,317,23,1375,100
Arkansas,532,77,20,3,134,20,155,23,687,100
California,3785,75,197,4,1063,21,1260,25,5045,100
Colorado,741,79,33,4,166,18,199,21,940,100
Connecticut,243,65,19,5,114,30,133,35,376,100
Delaware,138,79,6,3,31,18,36,21,174,100
District of Columbia,21,56,2,4,15,40,17,44,38,100
Florida,3666,79,137,3,811,18,948,21,4614,100
Georgia,1867,82,64,3,352,15,416,18,2283,100
Hawaii,97,68,9,6,38,26,47,32,144,100
Idaho,257,79,14,4,56,17,69,21,326,100
Illinois,1175,75,71,5,324,21,395,25,1570,100
Indiana,1069,82,39,3,201,15,240,18,1309,100
Iowa,357,79,14,3,79,18,93,21,450,100
Kansas,518,83,11,2,94,15,105,17,623,100
Kentucky,882,81,34,3,170,16,204,19,1086,100
Louisiana,792,76,46,4,203,20,249,24,1041,100
Maine,193,77,10,4,47,19,58,23,251,100
Maryland,588,75,21,3,172,22,193,25,781,100
Massachusetts,332,71,17,4,120,25,137,29,469,100
Michigan,1141,77,62,4,284,19,347,23,1488,100
Minnesota,428,80,22,4,83,16,105,20,533,100
Mississippi,777,83,22,2,135,14,157,17,934,100
Missouri,1032,78,47,4,242,18,289,22,1321,100
Montana,168,74,7,3,53,23,60,26,228,100
Nebraska,250,79,6,2,61,19,66,21,316,100
Nevada,359,79,13,3,83,18,96,21,455,100
New Hampshire,113,80,5,3,24,17,29,20,142,100
New Jersey,711,82,36,4,119,14,155,18,865,100
New Mexico,402,75,21,4,111,21,132,25,534,100
New York,1021,75,50,4,291,21,340,25,1361,100
North Carolina,1547,77,66,3,392,20,457,23,2004,100
North Dakota,97,66,4,3,45,31,49,34,146,100
Ohio,1307,78,52,3,317,19,370,22,1677,100
Oklahoma,741,80,24,3,161,17,185,20,926,100
Oregon,442,75,23,4,125,21,148,25,590,100
Pennsylvania,1341,79,49,3,308,18,357,21,1698,100
Rhode Island,66,64,2,2,36,35,38,36,103,100
South Carolina,1000,74,57,4,302,22,359,26,1359,100
South Dakota,115,73,12,7,31,20,43,27,158,100
Tennessee,1162,80,55,4,235,16,289,20,1451,100
Texas,3492,67,274,5,1439,28,1712,33,5204,100
Utah,339,86,8,2,48,12,56,14,395,100
Vermont,71,77,4,4,18,19,22,23,93,100
Virginia,896,77,36,3,231,20,267,23,1163,100
Washington,611,75,33,4,173,21,206,25,817,100
West Virginia,317,80,13,3,68,17,82,20,398,100
Wisconsin,622,74,40,5,174,21,214,26,836,100
Wyoming,105,72,2,2,38,26,41,28,145,100
USA,40021,77,1909,4,10344,20,12253,23,52274,100
